               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.016726,            0.011216,           0.0026161,             0.70738,             0.63312,             0.65674,             0.39601,            0.049777,            0.011783,            0.043452,           0.0079804,           0.0079804,           0.0079804
                 104,            0.016065,            0.010885,           0.0022654,             0.74828,             0.57699,             0.62822,             0.39631,            0.051328,            0.011256,            0.042297,           0.0079606,           0.0079606,           0.0079606
                 105,            0.016202,            0.010824,           0.0022794,              0.8175,             0.56679,             0.63636,             0.37711,            0.051751,            0.011608,            0.041359,           0.0079408,           0.0079408,           0.0079408
                 106,            0.016002,            0.011111,           0.0025992,             0.75842,             0.60019,              0.6494,              0.3762,            0.053148,            0.010633,            0.042129,            0.007921,            0.007921,            0.007921
                 107,            0.016333,            0.011049,           0.0024039,               0.679,             0.64286,             0.65055,              0.3935,             0.05491,            0.010669,            0.040203,           0.0079012,           0.0079012,           0.0079012
                 108,            0.016073,            0.011155,           0.0023876,             0.76309,             0.60993,             0.62581,               0.363,            0.055442,            0.010984,            0.041773,           0.0078814,           0.0078814,           0.0078814
                 109,            0.016258,            0.011545,           0.0023083,             0.76923,             0.63033,             0.63629,             0.38399,            0.053631,            0.011407,            0.050024,           0.0078616,           0.0078616,           0.0078616
                 110,            0.015613,            0.010727,           0.0021214,             0.79851,             0.59011,             0.64082,             0.38883,            0.053536,            0.010918,            0.045509,           0.0078418,           0.0078418,           0.0078418
                 111,            0.015695,            0.010606,           0.0022038,             0.71035,             0.61427,             0.63134,             0.38532,              0.0523,            0.010669,            0.050812,            0.007822,            0.007822,            0.007822
                 112,            0.015695,            0.010939,           0.0024875,             0.69266,             0.57462,             0.62362,             0.37952,            0.052865,            0.010639,            0.042828,           0.0078022,           0.0078022,           0.0078022
                 113,            0.015174,            0.010375,            0.002261,             0.78595,               0.657,             0.68085,             0.43087,            0.051254,            0.010615,            0.044604,           0.0077824,           0.0077824,           0.0077824
                 114,             0.01612,            0.011014,           0.0031636,             0.72065,             0.62562,             0.64035,             0.36915,            0.052775,            0.010419,            0.044978,           0.0077626,           0.0077626,           0.0077626
                 115,            0.015761,            0.011209,           0.0022994,             0.79595,             0.57895,             0.63572,             0.34412,            0.053107,            0.010616,            0.045639,           0.0077428,           0.0077428,           0.0077428
                 116,             0.01565,            0.011036,           0.0023828,             0.75958,             0.60702,             0.64841,             0.39378,            0.052421,            0.011307,            0.042753,            0.007723,            0.007723,            0.007723
                 117,            0.016286,             0.01056,           0.0024327,             0.70587,              0.6208,             0.63302,             0.37241,            0.052023,            0.010592,            0.045982,           0.0077032,           0.0077032,           0.0077032
                 118,            0.015964,            0.010879,           0.0024539,             0.69851,             0.64564,             0.68132,             0.38703,            0.051751,            0.010587,            0.043426,           0.0076834,           0.0076834,           0.0076834
                 119,            0.015527,            0.010532,           0.0022362,              0.7809,             0.61881,             0.67308,             0.41834,            0.050079,            0.011103,            0.047356,           0.0076636,           0.0076636,           0.0076636
                 120,            0.015821,            0.010755,           0.0022096,             0.81106,             0.63512,             0.68274,             0.41063,            0.053029,            0.010938,            0.042624,           0.0076438,           0.0076438,           0.0076438
                 121,            0.015615,            0.010496,           0.0019632,             0.63684,             0.65963,              0.6581,             0.39754,            0.051743,            0.011366,            0.043666,            0.007624,            0.007624,            0.007624
                 122,            0.015644,            0.010449,           0.0033653,             0.77617,             0.61648,             0.66097,             0.40114,            0.051845,             0.01136,            0.043472,           0.0076042,           0.0076042,           0.0076042
                 123,            0.015282,            0.010534,           0.0024292,             0.85397,             0.60761,               0.667,             0.38871,            0.053544,            0.011334,            0.043801,           0.0075844,           0.0075844,           0.0075844
                 124,            0.015604,            0.010704,           0.0027023,             0.69413,             0.61155,             0.63331,              0.3896,             0.04851,            0.011545,            0.042311,           0.0075646,           0.0075646,           0.0075646
                 125,            0.015174,            0.010664,           0.0022983,             0.62201,             0.59462,             0.57465,             0.33909,            0.052508,            0.011893,            0.040038,           0.0075448,           0.0075448,           0.0075448
                 126,            0.015712,            0.010653,           0.0021611,             0.72443,             0.55148,             0.63087,             0.37054,            0.054733,            0.011632,            0.045716,            0.007525,            0.007525,            0.007525
